Title,Type,language,Date,Link
"ع / اقتصادي / تعزيزًا للتنمية المستدامة.. جمعية ""البطين"" تسهم في دعم المجتمع الزراعي لتحقيق الاكتفاء الذاتي",اقتصادي,عربى,12/6/2024 14:39,https://spa.gov.sa/w2220316
ع / عام / حرس الحدود بمنطقة جازان يحبط تهريب (160) كيلوجرامًا من نبات القات المخدر,عام,عربى,12/6/2024 14:43,https://spa.gov.sa/w2220318
ع / سياسي / اهتمامات الصحف الفلسطينية,سياسي,عربى,12/6/2024 14:45,https://spa.gov.sa/w2220319
ع / سياسي / الرئيس الجزائري يلتقي نظيره الجنوب أفريقي,سياسي,عربى,12/6/2024 15:02,https://spa.gov.sa/w2220324
"ع / سياسي / خادم الحرمين الشريفين يهنئ السيدة نيتومبو ناندي ندايتوا، بمناسبة فوزها في الانتخابات الرئاسية في جمهورية ناميبيا",سياسي,عربى,12/6/2024 15:14,https://spa.gov.sa/w2220327
"ع / سياسي / سمو ولي العهد يهنئ السيدة نيتومبو ناندي ندايتوا، بمناسبة فوزها في الانتخابات الرئاسية في جمهورية ناميبيا",سياسي,عربى,12/6/2024 15:14,https://spa.gov.sa/w2220328
ع / اجتماعي / الهيئة العامة للعناية بشؤون المسجد الحرام والمسجد النبوي تحقق جائزة التميّز في تنظيم العمل التطوعي,إجتماعي,عربى,12/6/2024 15:56,https://spa.gov.sa/w2220353
ع / بيئي / أمانة حفر الباطن تنفذ أكثر من 16 ألف زيارة رقابية خلال شهر نوفمبر الماضي,البيئة,عربى,12/6/2024 15:57,https://spa.gov.sa/w2220354
ع / سياسي / منظمة الصحة العالمية تدعو إلى وقف الهجمات على المرافق الطبية والعاملين الصحيين في غزة,سياسي,عربى,12/6/2024 16:15,https://spa.gov.sa/w2220355
ع / بيئي / منتدى الاستدامة المائية بـ(COP16) بالرياض يبرز دور المملكة في تحقيق استدامة القطاع وفق المستهدفات الوطنية ,البيئة,عربى,12/6/2024 16:17,https://spa.gov.sa/w2220356
ع / اقتصادي / البورصة الباكستانية تغلق على ارتفاع,اقتصادي,عربى,12/6/2024 16:20,https://spa.gov.sa/w2220357
"ع / عام / أكاديمية الإعلام السعودية تختتم برنامج ""دور الذكاء الاصطناعي في مستقبل الإعلام""",عام,عربى,12/6/2024 16:24,https://spa.gov.sa/w2220358
ع / بيئي /  زراعة أكثر من 34 ألف شجرة ضمن مبادرة شرقيتنا خضراء بمحافظتي القطيف والخفجي,البيئة,عربى,12/6/2024 16:24,https://spa.gov.sa/w2220359
